"","airline","hour","Date","X","Sentiment","word1","freq1","word2","freq2","word3","freq3","DEP_DELAY","DEP_DELAY_GROUP","ARR_DELAY","DISTANCE","AIR_TIME","MONTH","DAY_OF_MONTH","DAY_OF_WEEK"
"60","AA",1,2016-05-25,352,0.4984375,"plane",2,"calling",1,"change",1,177.6666667,7.666666667,102.5,1092.666667,144,5,25,3
"61","AA",1,2016-05-26,353,0.23559322,"please",10,"customer",5,"look",5,112.32,6.6,107.48,973.28,126.96,5,26,4
"62","AA",1,2016-05-27,354,0.211764706,"aadvantage",7,"miles",7,"thanks",6,155.8571429,7.428571429,149.1428571,1250.428571,156.1428571,5,27,5
"63","AA",1,2016-05-28,355,0.482,"agents",7,"thanks",5,"help",4,0,0,-7,1744,214,5,28,6
"64","AA",1,2016-05-29,356,0.225757576,"aadvantage",1,"barkydoos",1,"business",1,-4,-1,-16,1744,209,5,29,7
"65","AA",1,2016-05-30,358,0.184444444,"aadvantage",6,"get",6,"hope",6,12.5,0,15.5,1489.5,182,5,30,1
"66","AA",1,2016-06-01,365,0.310869565,"please",12,"claim",10,"miles",9,8.5,0,19,1489.5,196,6,1,3
"67","AA",1,2016-06-02,376,0.474528302,"able",1,"adastraperasper",1,"answer",1,143.5,6,133.5,1095.5,137,6,2,4
"68","AA",1,2016-06-03,386,0.00375,"please",6,"sorry",6,"airport",5,39,2.5,34,1639.5,205.5,6,3,5
"69","AA",1,2016-06-04,387,0.562903226,"behaviour",1,"billed",1,"catarcher",1,42.5,2.5,44.5,2073,257,6,4,6
"70","AA",1,2016-06-05,388,0.196268657,"sorry",7,"thanks",7,"get",6,261.8333333,8,257.5,2134,272.5,6,5,7
"71","AA",1,2016-06-06,389,0.165957447,"please",5,"sorry",5,"get",4,50,3,50,1526.5,186,6,6,1
"72","AA",1,2016-06-07,390,0.333333333,"accepted",2,"bag",1,"carry",1,42,2.25,40.25,1654,198.5,6,7,2
"73","AA",1,2016-06-08,391,0.554938272,"get",12,"team",11,"want",10,36,2,22,1489.5,185.5,6,8,3
"74","AA",1,2016-06-09,392,0.463207547,"ive",12,"bitlylhraa",10,"new",10,115.5,6,120.5,1192.5,157,6,9,4
"75","AA",1,2016-06-11,367,0.702272727,"ahead",1,"bag",1,"capita",1,37.33333333,1.666666667,25.33333333,1900.666667,227.3333333,6,11,6
"76","AA",1,2016-06-12,368,0.107377049,"agents",5,"cloud",5,"please",5,199.8571429,7,187.7142857,1156.142857,145.1428571,6,12,7
