"","word","freq","sentiment","delay"
"302","activist",4,0.382380855,0.747987117666667
"303","activity",3,0.282937552333333,-0.422979798
"304","actmpowerchangeorgsignsouthwest",48,0.4016346345,0.733270202
"305","actor",1,0.595945946,-1
"306","actorronbush",1,0.328571429,1.2
"307","actresskaycee",1,0.353921569,-0.916666667
"308","acts",7,0.639071400714286,0.305545112857143
"309","actual",26,0.31941542836,0.33867486988
"310","actualleafpool",2,0.54,0
"311","actually",142,0.197554895101449,0.286435281304348
"312","actuallyajr",1,0.415625,-1
"313","acuerdo",18,0.4529772475,0.6801242235
"314","acxcustoms",1,0.105378486,1.428571429
"315","acy",14,0.144141156428571,0.00918367350000001
"316","acyasks",1,0.111538462,-0.5
"317","acyord",1,-0.4,-0.333333333
"318","ada",5,0.4373621554,-0.4833333334
"319","adairtris",1,0.48172043,2.727272727
"320","adam",104,0.3393850169,1.32744691345
"321","adambritten",2,0.420560748,-0.611111111
"322","adamcarolla",1,0.496195652,-0.583333333
"323","adamclinard",1,0.445652174,-0.384615385
"324","adamcrane",1,0.465789474,-0.916666667
"325","adamdevine",10,0.165196078,5
"326","adamdrewshow",1,0.496195652,-0.583333333
"327","adamfungi",1,-0.06,2
"328","adamhughes",2,0.154545455,-0.5
"329","adamitkin",1,-0.1875,0
"330","adamjk",1,0.660810811,-0.1875
"331","adamjsr",1,0.320933333,0.023255814
"332","adamkmiec",1,0.368789809,0.3
"333","adamlam",1,0.915217391,0.5625
"334","adamlevine",1,0.088636364,3.957446809
"335","adamllw",1,0.264285714,-1
"336","adamlube",1,0.025,2.8
"337","adammacmusic",1,0.508695652,-0.5
"338","adammercer",1,0.317283951,4
"339","adammiller",1,0.301785714,-0.222222222
"340","adammillerguitar",1,0.301785714,-0.222222222
"341","adamnussb",1,0.767647059,0.5
"342","adampowers",1,0.494897959,-1
"343","adamrahn",1,0.202247191,0.888888889
"344","adamrhopkins",3,0.438978362,0.691851852
"345","adamsgrounded",1,-0.5875,-0.5
"346","adamsinger",2,0.748636364,-0.894736842
"347","adamth",1,0.871666667,-0.275862069
"348","adamzak",5,-0.388888889,0
"349","adasilva",1,0.3,2.285714286
"350","adastraperasper",1,0.474528302,6
"351","adbut",1,-0.166666667,1.5
"352","adc",1,0.473239437,-0.666666667
"353","add",118,0.311351676861111,0.0114023623796296
"354","added",41,0.3252153319,0.3058136696
"355","addhich",1,0.387333333,-0.823529412
"356","addicted",1,-0.125,0
"357","addin",1,0.678205128,-0.64516129
"358","adding",28,0.192396026296296,0.363949420259259
"359","addison",1,0.196938776,-0.75
"360","addition",12,0.3305661485,0.915207076416667
"361","additional",34,0.2716993225,0.520035341441176
"362","additionally",3,0.0124383826666667,-0.090643275
"363","additions",1,0.967910448,-0.428571429
"364","addl",2,0.141710993,-0.411764706
"365","addon",1,-0.525,0
"366","addons",2,0.115625,-0.625
"367","addr",1,0.344736842,1.176470588
"368","addres",1,0.479518072,1.8125
"369","address",43,0.432679654690476,0.451151205166667
"370","address‚Äreally",1,0.568,0
"371","addressed",5,0.2377509974,0.9519565218
"372","addressing",5,0.1744745966,1.2662121212
"373","adds",17,0.350148284666667,-0.20298520925
"374","adeferr",1,0.8332,-0.928571429
"375","adem„s",2,0.3928258145,1.0946153845
"376","adepticon",1,0.558823529,-1
"377","adequate",1,0.261940299,0.571428571
"378","adequately",2,0.28675,-0.611111111
"379","adesamuelshoes",2,0.372972973,0.0625
"380","adgirlkei",1,0.202564103,-0.555555556
"381","adhere",2,0.216666667,0.75
"382","adiii",1,0.667721519,6.68
"383","adios",3,0.430247007666667,-0.0888888886666667
"384","adjectives",1,0.225990676,-0.461538462
"385","adjust",5,0.5020272348,1.1908771932
"386","adjusting",1,0.539344262,-0.333333333
"387","adjustment",3,0.2383333335,-0.4791666665
"388","adjustments",2,0.474665775,-0.1833333335
"389","adlebern",1,-0.08,0.4
"390","adleystump",1,0.434444444,-0.428571429
"391","administration",2,0.209375,-0.6
"392","admiral",1,0.169902913,0.222222222
"393","admirals",6,0.300389570333333,-0.424803741166667
"394","admiralsclub",5,0.2663853288,-0.3141101492
"395","admiralslounge",1,0.336821705,-0.106382979
"396","admire",1,0.215,0.8
"397","admiring",1,0.531506849,0.357142857
"398","admission",1,0.402941176,-0.846153846
"399","admit",6,0.499249564833333,0.625259989
"400","admitted",2,0.681620695,-0.5292207795
"401","ado",1,0.660227273,-0.68
"402","adobesummit",6,0.303191489,-0.052631579
"403","adolescent",2,0.15625,0.0333333335
"404","adolfo",1,1.016666667,1
"405","adoli",1,0.793571429,0.888888889
"406","adolwyn",1,0.73219697,-0.393939394
"407","adonislenzy",1,0.559183673,-0.666666667
"408","adoomy",1,0.278571429,1.272727273
"409","adopt",2,0.2826241135,-0.2333333335
"410","adoptapilot",1,0.69,0.166666667
"411","adopted",1,0.479605263,-0.7
"412","adopts",1,0.489393939,-0.384615385
"413","adorable",7,0.574352564142857,-0.208257456714286
"414","adoradventure",1,0.365460526,2.88
"415","adore",1,0.593137255,0
"416","adoriandeck",1,0.126585366,-0.634920635
"417","adorkablemc",3,0.993248328,-0.6729323305
"418","adp",1,0.244067797,-0.642857143
"419","adquiere",1,0.638,-0.68
"420","adreagordon",1,0.511111111,0.428571429
"421","adress",2,0.505873181,-0.3214285715
"422","adrian",1,0.647101449,0.857142857
"423","adriancerv",1,-0.058333333,3
"424","adrianho",1,0.647101449,0.857142857
"425","adrianjwallace",1,0.374691358,1.48
"426","adrienneaway",2,0.3170261435,-0.25
"427","adrienneespn",1,0.256557377,-0.342105263
"428","adriennefriesen",1,0.319945355,-0.142857143
"429","adriennejanic",8,0.318831169,-0.454545455
"430","adriennereid",1,0.308108108,1.4
"431","adrimarinari",1,0.5125,-0.476190476
"432","adrockskz",1,0.44702381,0.058823529
"433","adryenn",1,0.189772727,0.222222222
"434","ads",8,0.2640779945,1.28404424525
"435","adspace",1,0.125,-0.5
"436","adubbsrn",1,0.101612903,2.818181818
"437","adugdale",1,0.31,0.25
"438","adult",7,0.345094258,1.320959596
"439","adultraverprobs",2,-0.2,0
"440","adv",3,0.308007519,0.388888889
"441","advance",30,0.464518583533333,1.19468786813333
